Month,Year,Place,Temp_max,Temp_mean,Temp_min,Precipitation,Sunshine
1,1960,Suwa,13.7,-0.8,-12.8,24.1,215.8
2,1960,Suwa,16.6,0.6,-10.1,19.1,212.1
3,1960,Suwa,21.6,4.4,-8.7,60.4,226.4
4,1960,Suwa,21.5,8.2,-4.3,86.6,201.5
5,1960,Suwa,26.4,14.3,2.4,142.6,186.7
6,1960,Suwa,29.1,17.9,8.3,144.3,164.6
7,1960,Suwa,33.1,22.8,14.2,58.7,212.6
8,1960,Suwa,33.1,23,14.7,243.7,214.5
9,1960,Suwa,29.2,19.2,2.7,161.6,144.8
10,1960,Suwa,24.7,12.6,1.4,95.9,162.1
11,1960,Suwa,18.2,7.6,-5.1,71.6,154.3
12,1960,Suwa,12,1.4,-10.7,28.7,156.1
1,1961,Suwa,6.3,-2.6,-12.9,44.7,171.8
2,1961,Suwa,9.5,-1.5,-10.7,17.2,185.3
3,1961,Suwa,17.4,3.1,-8.9,113.5,202.7
4,1961,Suwa,24.8,10,-3.7,140.1,230.3
5,1961,Suwa,29.2,15.9,3.7,66.9,211.6
6,1961,Suwa,28.4,18.4,8,469.3,172.8
7,1961,Suwa,33.5,23.9,17.3,148.1,218.9
8,1961,Suwa,32.8,23.8,16.4,107.5,201.2
9,1961,Suwa,32.8,21,10.3,99.4,212.5
10,1961,Suwa,26.5,14.4,3.8,188,97.8
11,1961,Suwa,17.5,7.4,-4.3,57.5,171.8
12,1961,Suwa,12.3,1.8,-9.5,19.1,204.2
1,1962,Suwa,7.9,-2.2,-13.8,28,210.6
2,1962,Suwa,16.2,-0.6,-9.9,10.2,218
3,1962,Suwa,15.6,2.7,-8.3,31.3,215
4,1962,Suwa,20.5,9,-4.7,99.3,215.7
5,1962,Suwa,29.6,14.2,1.5,152.1,209.1
6,1962,Suwa,29.2,17.5,5,290.8,147.8
7,1962,Suwa,33.3,22.5,16.3,140,188.8
8,1962,Suwa,33.5,23.8,15.2,47.6,263.8
9,1962,Suwa,29.7,19.6,5.5,60.8,205.4
10,1962,Suwa,28.7,11.9,0,98.2,166.5
11,1962,Suwa,18,6,-5.7,48.3,122.7
12,1962,Suwa,9.7,1.3,-7.9,40.1,186.7
1,1963,Suwa,4.4,-3.9,-12.2,11,192.1
2,1963,Suwa,8.4,-3.9,-21.1,30.1,212
3,1963,Suwa,19,2.1,-11.1,100.9,229.2
4,1963,Suwa,25.3,10.3,-3.3,97.5,203.9
5,1963,Suwa,26.5,15.5,1.7,194.7,104.7
6,1963,Suwa,30.9,20,11.4,210.4,119.9
7,1963,Suwa,32.6,22.8,15.3,207.3,206.7
8,1963,Suwa,32,22.8,15.2,136.4,195.8
9,1963,Suwa,26.9,16.7,4,51.6,174.6
10,1963,Suwa,22.9,11.6,1.3,81.5,156.9
11,1963,Suwa,18.8,6.5,-3.4,39.5,181.5
12,1963,Suwa,14.6,2.4,-6.9,30.3,204.2
1,1964,Suwa,9.4,-0.7,-11.2,95.3,169
2,1964,Suwa,7.6,-2.7,-13.8,63.2,170.5
3,1964,Suwa,16.3,1.7,-9.2,71.8,228.9
4,1964,Suwa,25.1,13.3,1.8,140.8,173.4
5,1964,Suwa,27.3,15.3,2.2,59.5,241.8
6,1964,Suwa,27.2,17.7,7.3,164,195.6
7,1964,Suwa,32.8,23.5,16.9,252,193.7
8,1964,Suwa,32.9,24.4,16.4,91.2,235.4
9,1964,Suwa,29.4,18.7,6.6,250.5,127.2
10,1964,Suwa,22,11.4,0.8,112.4,159.8
11,1964,Suwa,20.8,5,-5.6,53.5,180.7
12,1964,Suwa,13.5,1.6,-8.7,31.3,190.4
1,1965,Suwa,8.5,-1.9,-12.2,30,211.7
2,1965,Suwa,12.2,-1.6,-11.9,22.4,215.6
3,1965,Suwa,15.4,0.7,-12,12.7,262.3
4,1965,Suwa,24.5,6,-6.3,78.4,187.6
5,1965,Suwa,25.2,13.9,-0.4,254.8,226.2
6,1965,Suwa,27.2,18.8,8,225.2,177.5
7,1965,Suwa,32.1,21.7,15.3,297.6,161.7
8,1965,Suwa,32.1,22.9,9.7,24.7,283.5
9,1965,Suwa,29.4,17.6,4.7,194.5,168.9
10,1965,Suwa,22.2,10.7,0.8,38.6,221.9
11,1965,Suwa,20.1,7.3,-4.2,127.9,163.4
12,1965,Suwa,12.9,1.2,-8.5,47.5,140.8
1,1966,Suwa,7.8,-2.4,-13.9,29.2,205.4
2,1966,Suwa,13.8,1.1,-11.3,84.3,192.8
3,1966,Suwa,16.3,3.9,-4.9,151.7,189
4,1966,Suwa,26.2,9.4,-2.5,76.8,204.7
5,1966,Suwa,27.4,13.4,1.9,154,231.9
6,1966,Suwa,31.5,17.7,9.5,213.9,158.4
7,1966,Suwa,32.3,22.2,13.8,203.3,193.1
8,1966,Suwa,33.4,23.4,13.5,156.3,234.7
9,1966,Suwa,30.1,19.1,6,312.8,166.9
10,1966,Suwa,23.1,12.8,1.3,83.3,195
11,1966,Suwa,19.7,6.1,-5.9,49.2,191.9
12,1966,Suwa,9.2,-0.8,-12.6,15.2,170.9
1,1967,Suwa,9.3,-3.2,-17.4,74.8,192.3
2,1967,Suwa,12.8,-3,-18.2,65,171.4
3,1967,Suwa,17.8,2.9,-9.4,117.2,207.4
4,1967,Suwa,24.9,9.1,-0.7,138.9,168.1
