schoolID,clientcode,pass,namae,age,gender,phone,email,faculty
1,H011,H011,佐藤翔,19,male,090-0001-0001,H011@ed.sus.ac.jp,工学部
1,H012,H012,鈴木勇人,20,male,090-0001-0002,H012@ed.sus.ac.jp,工学部
1,H013,H013,山下美奈子,20,female,090-0001-H013,B0003@ed.sus.ac.jp,工学部
2,G005,G005,安藤佳代子,23,female,090-0001-0004,G005@ed.sus.ac.jp,工学院
2,G006,G006,伊藤沙知,24,female,090-0001-0005,G006@ed.sus.ac.jp,工学院
3,G007,G007,加藤はな,26,female,090-0001-0006,G007@ed.sus.ac.jp,工学院
4,R004,R004,林奈央,30,female,090-0001-0007,R004@rd.sus.ac.jp,工学部
5,R005,R005,斉藤理,56,male,090-0001-0008,R005@rd.sus.ac.jp,工学部
6,R006,R006,中川健一,44,male,090-0001-0009,R006@rd.sus.ac.jp,工学部
7,S004,S004,稲垣和樹,21,male,090-0001-0010,S004@rd.sus.ac.jp,総務
7,S005,S005,井畑美智,34,female,090-0001-0011,S005@se.sus.ac.jp,経理
8,S006,S006,千丈真知,28,female,090-0001-0012,S006@se.sus.ac.jp,教務
9,S007,S007,渡辺一夫,33,male,090-0001-0013,S007@se.sus.ac.jp,就活
