schoolID,clientcode,pass,namae,age,gender,phone,email,faculty
1,H001,H001,伊藤 樹,19,男,090-0000-0005,H001@ed.sus.ac.jp,工学部
1,H002,H002,加藤 芽依,19,女,090-0000-0010,H002@ed.sus.ac.jp,工学部
1,H003,H003,小林 澪,19,女,090-0000-0009,H003@ed.sus.ac.jp,工学部
1,H004,H004,佐藤 蓮,20,男,090-0000-0001,H004@ed.sus.ac.jp,工学部
1,H005,H005,鈴木 陽翔,19,男,090-0000-0002,H005@ed.sus.ac.jp,工学部
1,H006,H006,高橋 蒼,19,男,090-0000-0003,H006@ed.sus.ac.jp,工学部
1,H007,H007,田中 湊,21,男,090-0000-0004,H007@ed.sus.ac.jp,工学部
1,H008,H008,中村 凛,19,女,090-0000-0008,H008@ed.sus.ac.jp,工学部
1,H009,H009,山本 陽葵,19,女,090-0000-0007,H009@ed.sus.ac.jp,工学部
1,H010,H010,渡辺 紬,20,女,090-0000-0006,H010@ed.sus.ac.jp,工学部
2,G001,G001,佐々木 結愛,22,女,090-0000-0013,G001@ed.sus.ac.jp,工学院
2,G002,G002,山口 陽菜,23,女,090-0000-0014,G002@ed.sus.ac.jp,工学院
3,G003,G003,山田 大和,24,男,090-0000-0012,G003@ed.sus.ac.jp,工学院
3,G004,G004,吉田 朝陽,25,男,090-0000-0011,G004@ed.sus.ac.jp,工学院
4,R001,R001,松本 悠真,30,男,090-0000-0015,R001@rs.sus.ac.jp,工学部
5,R002,R002,井上 颯真,44,男,090-0000-0016,R002@rs.sus.ac.jp,工学院
6,R003,R003,木村 杏,41,女,090-0000-0017,R003@rs.sus.ac.jp,工学部
7,S001,S001,林 陽向,50,男,090-0000019,S001@rs.sus.ac.jp,経理
8,S002 ,S002 ,齋藤 柚希,34,女,090-0000020,S002@rs.sus.ac.jp,教務
9,S003 ,S003 ,清水 莉子,43,女,090-0000021,S003@rs.sus.ac.jp,就職
